ID_Elemento;Nombre;Manzana_Bloque;Tipologia;Area_m2;Dimensiones;Precio_S/;Distancia_Oasis_m;Distancia_Cochera_m;Estado
L001;Lote 1;M1;Lote Estándar;225,54;12.16m x 18.75m;27065;106;14;Disponible
L002;Lote 2;M1;Lote Estándar;224,67;12.16m x 18.67m;26960;106;26;Disponible
L003;Lote 3;M1;Lote Estándar;224,37;12.16m x 18.64m;26924;106;39;Disponible
L004;Lote 4;M1;Lote Estándar;225,14;12.18m x 18.66m;27017;107;51;Disponible
L005;Lote 5;M1;Lote Estándar;226,12;12.18m x 18.74m;27134;108;63;Vendido
L006;Lote 6;M1;Lote Estándar;227,66;12.18m x 18.86m;27319;109;75;Disponible
L007;Lote 7;M1;Lote Estándar;229,65;12.18m x 19.02m;27558;110;88;Disponible
L008;Lote 8;M2;Lote Estándar;230,62;12.07m x 19.26m;27674;112;105;Disponible
L009;Lote 9;M2;Lote Estándar;231,26;12.07m x 19.34m;27751;112;117;Disponible
L010;Lote 10;M2;Lote Estándar;231,58;12.07m x 19.37m;27790;112;129;Disponible
L011;Lote 11;M2;Lote Estándar;231,89;12.07m x 19.39m;27827;112;141;Disponible
L012;Lote 12;M2;Lote Estándar;232,20;12.07m x 19.42m;27864;112;145;Disponible
L013;Lote 13;M2;Lote Estándar;232,53;12.07m x 19.45m;27904;112;145;Disponible
L014;Lote 14;M2;Lote Estándar;232,84;12.07m x 19.47m;27941;113;145;Separado
L015;Lote 15;M2;Lote Estándar;233,15;12.07m x 19.50m;27978;113;145;Disponible
L016;Lote 16;M2;Lote Estándar;233,46;12.07m x 19.52m;28015;113;145;Disponible
L017;Lote 17;M2;Lote Estándar;233,77;12.07m x 19.55m;28052;112;133;Disponible
L018;Lote 18;M3;Lote Estándar;242,86;12.54m x 19.53m;29143;111;115;Disponible
L019;Lote 19;M3;Lote Estándar;241,12;12.54m x 19.42m;28934;110;103;Disponible
L020;Lote 20;M3;Lote Estándar;239,55;12.54m x 19.29m;28746;109;91;Disponible
L021;Lote 21;M3;Lote Estándar;238,43;12.54m x 19.19m;28612;109;78;Disponible
L022;Lote 22;M3;Lote Estándar;238,17;12.56m x 19.15m;28580;109;65;Disponible
L023;Lote 23;M3;Lote Estándar;238,37;12.56m x 19.16m;28604;110;53;Disponible
L024;Lote 24;M3;Lote Estándar;239,29;12.56m x 19.22m;28715;110;40;Disponible
L025;Lote 25;M3;Lote Estándar;240,86;12.56m x 19.34m;28903;111;28;Disponible
L026;Lote 26;M3;Lote Estándar;242,97;12.56m x 19.51m;29156;113;15;Disponible
L027;Lote 27;M4;Lote Estándar;155,33;12.16m x 12.93m;18640;83;14;Disponible
L028;Lote 28;M4;Lote Estándar;154,84;12.16m x 12.88m;18581;82;26;Disponible
