Manzana;Numero de Lote;Area (m2);Tipologia;Precio (S/);Distancia Oasis (m);Distancia Cochera (m);Estado
M1;Lote 1;225,54;Lote Estándar;27065;106;14;Disponible
M1;Lote 2;224,67;Lote Estándar;26960;106;26;Disponible
M1;Lote 3;224,37;Lote Estándar;26924;106;39;Disponible
M1;Lote 4;225,14;Lote Estándar;27017;107;51;Disponible
M1;Lote 5;226,12;Lote Estándar;27134;108;63;Vendido
M1;Lote 6;227,66;Lote Estándar;27319;109;75;Disponible
M1;Lote 7;229,65;Lote Estándar;27558;110;88;Disponible
M2;Lote 8;230,62;Lote Estándar;27674;112;105;Disponible
M2;Lote 9;231,26;Lote Estándar;27751;112;117;Disponible
M2;Lote 10;231,58;Lote Estándar;27790;112;129;Disponible
M2;Lote 11;231,89;Lote Estándar;27827;112;141;Disponible
M2;Lote 12;232,20;Lote Estándar;27864;112;145;Disponible
M2;Lote 13;232,53;Lote Estándar;27904;112;145;Disponible
M2;Lote 14;232,84;Lote Estándar;27941;113;145;Separado
M2;Lote 15;233,15;Lote Estándar;27978;113;145;Disponible
M2;Lote 16;233,46;Lote Estándar;28015;113;145;Disponible
M2;Lote 17;233,77;Lote Estándar;28052;112;133;Disponible
M3;Lote 18;242,86;Lote Estándar;29143;111;115;Disponible
M3;Lote 19;241,12;Lote Estándar;28934;110;103;Disponible
M3;Lote 20;239,55;Lote Estándar;28746;109;91;Disponible
M3;Lote 21;238,43;Lote Estándar;28612;109;78;Disponible
M3;Lote 22;238,17;Lote Estándar;28580;109;65;Disponible
M3;Lote 23;238,37;Lote Estándar;28604;110;53;Disponible
M3;Lote 24;239,29;Lote Estándar;28715;110;40;Disponible
M3;Lote 25;240,86;Lote Estándar;28903;111;28;Disponible
M3;Lote 26;242,97;Lote Estándar;29156;113;15;Disponible
M4;Lote 27;155,33;Lote Estándar;18640;83;14;Disponible
M4;Lote 28;154,84;Lote Estándar;18581;82;26;Disponible
